Disease,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10
Bệnh Myasthenia,mệt mỏi,khó ngủ,yếu cơ mặt,khó nuốt,yếu khi mệt mỏi,khó thở khi ngủ,,,,
Ung thư tinh hoàn,buồn nôn,thay đổi hình dáng tinh hoàn,đau hoặc cảm giác nặng nề ở tinh hoàn,mệt mỏi,sút cân,khó thở,khối u ở tinh hoàn,đau lưng,đau bụng dưới,đau khi quan hệ
Ung thư cổ tử cung,sưng chân,tiêu chảy,chảy máu âm đạo bất thường,giảm cân,mệt mỏi,đau khi quan hệ,,,,
Trầm cảm,cảm giác có lỗi,sút cân hoặc tăng cân,cảm giác vô vọng,buồn bã,giảm khả năng tập trung,không có hứng thú với các hoạt động,,,,
Uốn ván,đau đầu,chuột rút hàm,ra mồ hôi,cứng cơ,hay cáu gắt,đau họng,khó mở miệng,khó nuốt,co giật,sốt
Loãng xương,gãy xương dễ dàng,dáng cong,đau lưng,cứng khớp,mỏi cơ,đau cổ,yếu cơ,khó đi lại,chuột rút,giảm chiều cao
Tả,miệng khô,mệt mỏi,chuột rút cơ,huyết áp thấp,mắt trũng,sốt,,,,
Rối loạn phổ tự kỷ (ASD),vấn đề với tương tác xã hội,thiếu khả năng diễn đạt cảm xúc,khó duy trì các mối quan hệ,thiếu sự quan tâm đến trò chơi nhóm,không hiểu cảm xúc người khác,khó khăn trong giao tiếp xã hội,hành vi lặp lại,lặp lại hành động hoặc lời nói,,
Hội chứng ruột kích thích (IBS),đầy hơi,đau khi đi tiêu,táo bón,chán ăn,khó tiêu,sút cân,sưng bụng,mệt mỏi,đau bụng,tiêu chảy
Vô sinh,sút cân,đau khi quan hệ,khó thụ thai,đau bụng,cảm giác trầm cảm,vô cảm xúc,rối loạn kinh nguyệt,tăng cân,chậm kinh,
Chấy,lây lan sang người khác,cảm giác ngứa khi chải tóc,sưng đỏ da đầu,rối loạn tóc,viêm da đầu,gàu,sử dụng lược chấy,ngứa da đầu,cảm giác châm chích,tóc rụng
Bệnh Wilson,mệt mỏi,khó nuốt,vàng da,mất thăng bằng,vòng Kayser-Fleischer,,,,,
Eczema,dễ bị viêm nhiễm,đau da,ngứa da,khó chịu,da bị nứt nẻ,vảy da,dễ bị kích ứng,,,
COVID-19,mệt mỏi,nghẹt mũi,khó thở,khó thở,đau đầu,ho,đau họng,mất vị giác hoặc khứu giác,sốt,đau cơ
Sốt thương hàn,mơ hồ,buồn nôn,đau bụng,tiêu chảy,sốt,yếu,,,,
Bệnh botulism,nôn mửa,khó thở,đau cơ,mắt nhìn mờ,khô miệng,sụp mí mắt,yếu cơ,,,
Tăng huyết áp,chóng mặt,mệt mỏi,mơ hồ,vấn đề về thị lực,nhịp tim không đều,,,,,
Lymphoma,mệt mỏi,chán ăn,nhiễm trùng thường xuyên,sốt,rùng mình,ra mồ hôi đêm,ngứa,giảm cân không rõ lý do,đau bụng,hạch bạch huyết sưng
Hội chứng buồng trứng đa nang (PCOS),rối loạn tâm lý,mọc nhiều lông,khó thụ thai,kinh nguyệt không đều,đau bụng,,,,,
Táo bón,đầy hơi,cảm giác không thể đi vệ sinh hết,đau khi đi tiêu,mất cảm giác thèm ăn,đau bụng,cảm giác nặng nề,,,,
Sốt thương hàn,buồn nôn,phát ban,chán ăn,sốt,đau đầu,đau cơ,mơ hồ,tiêu chảy,đau bụng,yếu
Ung thư phổi,thở nhanh hoặc khó khăn khi gắng sức,ho kéo dài,khò khè,khó thở,chán ăn,,,,,
Viêm dạ dày,cảm giác nặng bụng,chán ăn,buồn nôn,đau khi ăn,đau bụng,chảy máu dạ dày,đau thượng vị,tiêu chảy,,
Ung thư bàng quang,đau xương chậu,đau lưng dưới,mệt mỏi,đau khi tiểu,tiểu không hết,,,,,
Chlamydia,mệt mỏi,ra dịch âm đạo bất thường,đau bụng dưới,tiểu buốt,đau khi quan hệ,sốt,,,,
Rối loạn hình thể cơ thể,lo âu về cân nặng,suy nghĩ quá nhiều về ngoại hình,lo âu,thường xuyên so sánh bản thân với người khác,cảm giác không hài lòng với hình dáng cơ thể,cảm giác căng thẳng,rối loạn ăn uống,,,
Herpes,đau khi tiểu,đau đầu,mệt mỏi,phát ban,vùng da đau nhức,ngứa,buồn nôn,sốt,vết loét trên cơ thể,
Ung thư vú,cảm giác nặng nề,đau vú,chảy dịch từ vú,khối u trong vú,sụt cân không rõ lý do,đau khi chạm vào vú,,,,
Chán ăn,mệt mỏi,khó ngủ,chóng mặt,cảm giác tội lỗi khi ăn,cảm giác no ngay cả khi không ăn,suy nhược cơ thể,,,,
Viêm khớp,sưng tấy,giảm phạm vi vận động,nhiệt độ khớp,cứng khớp,đau nhức,biến dạng khớp,yếu,đau khớp,,
Rubella,mệt mỏi,đau họng,hạch bạch huyết sưng,đau cơ,đau đầu,chán ăn,sốt,,,
Sốt xuất huyết,hạch bạch huyết sưng,đau khớp,đau sau mắt,sốt,buồn nôn,đau đầu dữ dội,,,,
Chán ăn,giảm cân nhanh,suy nhược cơ thể,mệt mỏi,cảm giác tội lỗi khi ăn,cảm giác no ngay cả khi không ăn,,,,,
Táo bón,sút cân,đau bụng,mất cảm giác thèm ăn,cảm giác nặng nề,cảm giác không thể đi vệ sinh hết,đau khi đi tiêu,,,,
Xơ vữa động mạch,rối loạn trí nhớ,khó đi lại,chóng mặt,chuột rút cơ,cảm giác ngứa,mệt mỏi,vấn đề về thị lực,mờ mắt,,
Bệnh phong,tổn thương da,tắc nghẽn mũi,nerv lớn phì đại,yếu cơ,mất cảm giác,,,,,
Sản giật,co giật,khó thở,sưng tay chân,mệt mỏi,mất ý thức,thở nhanh,đau bụng,huyết áp cao,,
Dại,sốt,đau đầu,chảy nước dãi quá mức,bị liệt,khó nuốt,,,,,
Thoát vị,đau xương chậu,sưng vùng bụng,đau khi di chuyển,tăng áp lực khi đi vệ sinh,tăng áp lực bụng,cảm giác căng tức,,,,
Sốt rét,mệt mỏi,mồ hôi,buồn nôn,đau cơ,đau đầu,thiếu máu,sốt,,,
Nấm da,da khô,vết thương lâu lành,lở loét,mẩn đỏ,lột da,ngứa da,,,,
Mụn,mụn bọc,mụn đầu đen,mụn gây sưng đỏ,da dầu,mụn mủ,đau khi chạm vào,mụn viêm,ngứa,,
Tả,nôn,miệng khô,nhịp tim nhanh,chuột rút cơ,tiêu chảy có nước,mắt trũng,mất nước,mệt mỏi,,
Sarcoidosis,đau khớp,ho khan,phát ban,sút cân,đau bụng,đau ngực,sốt,mệt mỏi,,
Ung thư tụy,tiêu chảy,khó thở,mất cảm giác thèm ăn,sốt,đau lưng,buồn nôn,đau bụng,,,
Mumps,nuốt đau,đau họng,chán ăn,sưng tinh hoàn,sốt,sưng tuyến nước bọt,,,,
Bệnh cơ xơ hóa,hạn chế tầm vận động,đau cơ,mệt mỏi,khó thở,cứng cơ,,,,,
Sốt thương hàn,đau đầu,tiêu chảy,đau cơ,chán ăn,mơ hồ,phát ban,đau bụng,,,
Bệnh Huntington,thay đổi hành vi,trầm cảm,mất tập trung,cử động không kiểm soát,chóng mặt,khó nói,,,,
Nấm da,lột da,lở loét,vảy da,đau khi chạm vào,sưng da,mẩn đỏ,vết thương lâu lành,tạo vết nứt,ngứa da,da khô
Bệnh Lyme,đau đầu,tim đập nhanh,tê tay chân,đau khớp,phát ban hình mắt bò,sốt,cứng cổ,ớn lạnh,mệt mỏi,
Bệnh thận mãn tính,mệt mỏi,tiểu không bình thường,chán ăn,huyết áp cao,da khô hoặc ngứa,sưng chân,,,,
Sốt rét,đau cơ,mệt mỏi,nôn,buồn nôn,mồ hôi,đau đầu,sốt,rùng mình,thiếu máu,
Bệnh Parkinson,thay đổi giọng nói,khó đi lại,mất thăng bằng,cúi người,chậm vận động,,,,,
Xơ gan,vàng da,xuất huyết,mệt mỏi,tinh thần lú lẫn,mạch máu nổi rõ trên da,giảm cơ,ngứa,,,
Hội chứng chân không yên,buồn bực,cảm giác châm chích,ngứa ran,khó tập trung,cảm giác khó chịu ở chân,đau rát,không kiểm soát được chuyển động chân,mất ngủ,mệt mỏi ban ngày,rối loạn giấc ngủ
Chân vận động viên,sưng và đỏ lòng bàn chân,da bong tróc,ngứa giữa các ngón chân,châm chích,sưng tấy,đau khi đi,,,,
Viêm bàng quang,nước tiểu đục,cảm giác buồn tiểu liên tục,mệt mỏi,đau bụng dưới,sốt,,,,,
Xơ cứng bì,đau cơ,suy thận,mệt mỏi,cảm giác nóng da,đau khớp,,,,,
Viêm da cơ địa,ngứa,nứt nẻ da,da bị viêm,da có mụn nước,da dày hơn,đau rát,da sưng,,,
Chlamydia,đau khi quan hệ,mệt mỏi,tiểu buốt,sốt,đau bụng dưới,,,,,
Bệnh máu khó đông,đau khớp,sưng khớp,xuất huyết trong cơ,cảm giác nặng nề ở tay chân,chảy máu răng,,,,,
Sởi,đau cơ,chán ăn,sổ mũi,ho,đốm trắng trong miệng,viêm kết mạc,mệt mỏi,sốt,phát ban,đau họng
Rối loạn ám ảnh cưỡng chế (OCD),lo ngại về sự không sạch sẽ,mất thời gian vào suy nghĩ tiêu cực,sợ hãi không kiểm soát được,cảm giác cần phải làm theo một cách cụ thể,mặc cảm tội lỗi,lo lắng quá mức,,,,
Tiểu đường,nhiễm trùng thường xuyên,khát nước,thèm ăn cực độ,giảm cân không rõ lý do,lành vết thương chậm,da khô,tê hoặc ngứa,,,
Bệnh phong,sẹo,mất cảm giác,yếu cơ,vấn đề về mắt,tắc nghẽn mũi,tổn thương da,nerv lớn phì đại,tê,sưng,da đổi màu
Loét dạ dày tá tràng,tiêu chảy,buồn nôn,đau bụng,chảy máu dạ dày,cảm giác nóng rát,sút cân,khó tiêu,,,
Bệnh Crohn,mệt mỏi,tiêu chảy,vết loét miệng,sốt,chảy máu trực tràng,mất cảm giác ngon miệng,đau bụng,máu trong phân,buồn nôn,
Thiếu máu,đau ngực,chóng mặt,nhức đầu,mệt mỏi,tim đập nhanh,da nhợt nhạt,sút cân,thở nhanh,,
Bệnh Parkinson,run,vấn đề cân bằng,khó đi lại,chậm vận động,thay đổi giọng nói,cứng cơ,đi bộ lê từng bước,chuột rút cơ,,
Rối loạn hoảng sợ,khó thở,đột ngột cảm giác sợ hãi,rối loạn nhịp tim,mồ hôi vã ra,mệt mỏi,run rẩy,,,,
Xơ cứng bì,đau cơ,khó thở,suy thận,da căng và dày,cảm giác nóng da,vết thương chậm lành,suy giảm khả năng di chuyển,mệt mỏi,đau khớp,viêm phổi
Hội chứng chân không yên,khó tập trung,cảm giác khó chịu ở chân,ngứa ran,mệt mỏi ban ngày,buồn bực,cảm giác châm chích,,,,
Rối loạn hoảng sợ,mồ hôi vã ra,mệt mỏi,buồn nôn,khó thở,run rẩy,rối loạn nhịp tim,đau ngực,đột ngột cảm giác sợ hãi,,
Sẩy thai,vàng da,buồn nôn,rối loạn nội tiết,khó tiêu,đau khi quan hệ,đau lưng,ra máu âm đạo,khó thở,,
Sỏi mật,vàng da,mệt mỏi,nôn mửa,đau sau ăn,sút cân,,,,,
Xơ nang,ho mãn tính,tăng trưởng kém,nhiễm trùng phổi thường xuyên,khó tăng cân,móng tay hoặc móng chân sưng,,,,,
Xơ vữa động mạch,mệt mỏi,khó đi lại,mờ mắt,chóng mặt,vấn đề về thị lực,,,,,
Thoái hóa khớp,lạo xạo trong khớp,giảm khả năng vận động,sưng tấy,yếu cơ,đau khớp,đỏ xung quanh khớp,đau buổi sáng,mệt mỏi,,
Thiếu máu,mệt mỏi,đau cơ,lạnh tay chân,nhức đầu,đau ngực,chóng mặt,,,,
Bệnh lao,ho ra máu,đau ngực,ho dai dẳng,ra mồ hôi ban đêm,mệt mỏi,chán ăn,sốt,giảm cân,,
Rối loạn phổ tự kỷ (ASD),lặp lại hành động hoặc lời nói,khó duy trì các mối quan hệ,không hiểu cảm xúc người khác,thiếu sự quan tâm đến trò chơi nhóm,thiếu khả năng diễn đạt cảm xúc,không thích sự thay đổi,vấn đề với tương tác xã hội,,,
Sởi,chán ăn,mệt mỏi,ho,sổ mũi,sốt,đốm trắng trong miệng,,,,
Rối loạn ám ảnh cưỡng chế (OCD),mất thời gian vào suy nghĩ tiêu cực,hoặc làm điều gì đó,cảm giác cần phải làm theo một cách cụ thể,khó kiểm soát cảm xúc,sợ hãi không kiểm soát được,,,,,
Loét dạ dày tá tràng,buồn nôn,đầy hơi,nôn mửa,tiêu chảy,chảy máu dạ dày,,,,,
Thai ngoài tử cung,thở dốc,ra máu âm đạo,buồn nôn,chóng mặt,chậm kinh,cảm giác nặng bụng,,,,
Ung thư phổi,ho có đờm,đau ngực,ho kéo dài,khó thở,chán ăn,ho ra máu,giảm cân,,,
Thoái hóa khớp,mệt mỏi,đau khớp,giảm khả năng vận động,đỏ xung quanh khớp,cứng khớp,yếu cơ,đau buổi sáng,,,
Bệnh Crohn,mất cảm giác ngon miệng,vết loét miệng,sốt,mệt mỏi,giảm cân,chảy máu trực tràng,máu trong phân,buồn nôn,tiêu chảy,
Ung thư buồng trứng,khó tiêu,đau bụng,mệt mỏi,chảy máu âm đạo bất thường,đau khi quan hệ,,,,,
Bệnh cơ xơ hóa,ho khan,suy giảm khả năng di chuyển,mất cân bằng điện giải,đau khớp,mệt mỏi,đau cơ,cứng cơ,hạn chế tầm vận động,tăng huyết áp,khó thở
Tiểu đường thai kỳ,khát nước nhiều,nôn mửa,khó thở,nhìn mờ,tiểu nhiều,,,,,
Viêm khớp,sưng tấy,cứng khớp,giảm phạm vi vận động,mệt mỏi,nhiệt độ khớp,yếu,đau khớp,đau nhức,biến dạng khớp,đỏ xung quanh khớp
Cảm cúm,đau đầu,đau cơ,sổ mũi,mệt mỏi,ho,nghẹt mũi,,,,
Viêm màng não,cứng cổ,co giật,hôn mê,sốt cao,lú lẫn,mệt mỏi,buồn nôn,đau cơ,,
Tiểu đường,nhiễm trùng thường xuyên,tiểu nhiều lần,khát nước,giảm cân không rõ lý do,mệt mỏi,mờ mắt,tê hoặc ngứa,,,
Bệnh Parkinson,vấn đề cân bằng,chuột rút cơ,cúi người,đi bộ lê từng bước,run,mất thăng bằng,thay đổi giọng nói,khó đi lại,chậm vận động,
Viêm khớp,nhiệt độ khớp,đau khớp,sưng tấy,biến dạng khớp,cứng khớp,,,,,
Ung thư vú,chảy dịch từ vú,sụt cân không rõ lý do,đau khi chạm vào vú,thay đổi kích thước hoặc hình dạng vú,sưng hạch bạch huyết ở nách,khối u trong vú,,,,
Hội chứng mệt mỏi mãn tính,suy giảm trí nhớ,lo âu,đau khớp,cảm giác không phục hồi sau giấc ngủ,cảm giác mệt mỏi kéo dài,trí nhớ kém,đau cơ,,,
Bệnh Parkinson,cúi người,run,chuột rút cơ,đi bộ lê từng bước,cứng cơ,khó đi lại,chậm vận động,mất thăng bằng,vấn đề cân bằng,thay đổi giọng nói
Ung thư phổi,thở nhanh hoặc khó khăn khi gắng sức,đau ngực,khó thở,chán ăn,ho kéo dài,ho ra máu,giảm cân,mệt mỏi,ho có đờm,khò khè
Rối loạn căng thẳng sau chấn thương (PTSD),mơ lại giấc mơ xấu,cảm giác căng thẳng,đặc biệt dễ giật mình,hoảng loạn,cảm giác tách biệt với mọi người,thay đổi cảm xúc,,,,
Bệnh cơ xơ hóa,ho khan,đau khớp,đau cơ,mệt mỏi,hạn chế tầm vận động,,,,,
Động kinh,mất trí nhớ tạm thời,cắn lưỡi,mất ý thức,chuyển động không kiểm soát,mơ hồ,chuột rút cơ,co giật,mơ hồ sau cơn co giật,,
Táo bón,đầy hơi,cảm giác không thể đi vệ sinh hết,đau bụng,khó đi tiêu,đầy bụng,,,,,
Nhồi máu cơ tim,đau ngực,khó thở,đau dạ dày,mệt mỏi,chứng khó tiêu,,,,,
Tả,mắt trũng,nôn,mất nước,huyết áp thấp,sốt,,,,,
Ung thư,máu trong phân,cục u,ho kéo dài,thay đổi da,khó thở,đau,mệt mỏi,khó nuốt,giảm cân không rõ lý do,
Suy tim,chán ăn,khó tập thể dục,mệt mỏi,nhịp tim không đều,thở khò khè,khó thở,ho dai dẳng,tiểu thường xuyên,sưng phù,
Hội chứng ruột kích thích,sụt cân,mệt mỏi,đau quặn thắt,tiêu chảy,đầy hơi,táo bón,đau khi đi vệ sinh,buồn nôn,đau bụng,nước tiểu sẫm màu
Trào ngược dạ dày thực quản,đau ngực,chứng ợ nóng,chảy máu thực quản,cảm giác nóng rát,đầy hơi,khó thở,khó ngủ,,,
Tiểu đường,nhiễm trùng thường xuyên,thèm ăn cực độ,mờ mắt,khát nước,lành vết thương chậm,da khô,tiểu nhiều lần,mệt mỏi,,
Suy tim,tăng cân,thở khò khè,tiểu thường xuyên,ho dai dẳng,mệt mỏi,nhịp tim không đều,khó tập thể dục,,,
Mumps,nuốt đau,mệt mỏi,sốt,sưng tinh hoàn,đau nhức,,,,,
Cảm cúm,sốt,sổ mũi,đau cơ,nôn,ho,đau đầu,nghẹt mũi,rùng mình,đau họng,
Chán ăn,buồn nôn,khó ngủ,giảm cân nhanh,cảm giác no ngay cả khi không ăn,mệt mỏi,suy nhược cơ thể,chóng mặt,cảm giác tội lỗi khi ăn,mất tự tin,mất cảm giác thèm ăn
Ung thư,giảm cân không rõ lý do,khó nuốt,cục u,máu trong phân,thay đổi da,mệt mỏi,,,,
Hội chứng Guillain-Barré,khó thở,tê tay chân,đau cơ,mất khả năng vận động,mất cảm giác ở tay và chân,yếu cơ,sốt,đau lưng,cảm giác kim châm trên da,
Ung thư nội mạc tử cung,khó tiêu,đau bụng dưới,đau khi quan hệ,ra máu âm đạo bất thường,vàng da,đau lưng,đau xương chậu,sút cân,,
Virus Zika,đau khớp,đau đầu,viêm kết mạc,phát ban,đau bụng,sốt,buồn nôn,đau cơ,,
Hội chứng chân không yên,buồn bực,rối loạn giấc ngủ,cảm giác châm chích,mệt mỏi ban ngày,không kiểm soát được chuyển động chân,ngứa ran,mất ngủ,cảm giác khó chịu ở chân,đau rát,khó tập trung
Chấy,cảm giác châm chích,rối loạn tóc,tóc rụng,cảm giác ngứa khi chải tóc,lây lan sang người khác,sử dụng lược chấy,sưng đỏ da đầu,gàu,ngứa da đầu,viêm da đầu
Bệnh Alzheimer,mất trí nhớ,lạc hướng,khó lập kế hoạch,mất đồ đạc,rút lui khỏi các hoạt động xã hội,thay đổi tính cách,mơ hồ,khó giải quyết vấn đề,thay đổi tâm trạng,
Viêm loét đại tràng,tiêu chảy có máu,đau bụng,tăng tần suất đi vệ sinh,đau trực tràng,thiếu máu,sốt,mũi trong phân,buồn nôn,,
Ung thư tuyến giáp,sút cân,rối loạn giấc ngủ,da khô,khó nuốt,tim đập nhanh,thay đổi giọng nói,khó thở,,,
Ung thư tuyến giáp,khó nuốt,đau cổ,thay đổi giọng nói,ho khan,tim đập nhanh,sút cân,da khô,khó thở,,
Động kinh,co giật,mất trí nhớ tạm thời,mất ý thức,chuột rút cơ,cảm giác trước khi co giật,run,chuyển động không kiểm soát,mơ hồ sau cơn co giật,cắn lưỡi,
Zona,phát ban đau,mệt mỏi,đau nhức,nhạy cảm với ánh sáng,ngứa,phỏng rộp,đau đầu,buồn nôn,cảm giác cháy,
Bệnh bạch cầu,nhiễm trùng thường xuyên,dễ bầm tím,hạch bạch huyết sưng,đau xương,giảm cân không rõ lý do,đau bụng,da tái nhợt,,,
HIV,sốt,sút cân,đau họng,viêm hạch bạch huyết,đau cơ,chán ăn,,,,
Viêm tụy mạn tính,sụt cân,mỡ trong phân,chán ăn,suy dinh dưỡng,tiêu chảy,nôn,,,,
Lo âu,lo lắng thái quá,run rẩy,cảm giác bất an,đau đầu,khó thở,rối loạn tiêu hóa,khó ngủ,mệt mỏi,,
Ung thư tuyến tiền liệt,đau vùng lưng dưới,sút cân nhanh,máu trong nước tiểu,đau vùng xương chậu,"đi tiểu thường xuyên, đặc biệt vào ban đêm",tiểu khó,mệt mỏi,đau khi đi tiểu,rối loạn cương dương,
Ung thư tuyến giáp,sút cân,thay đổi giọng nói,mệt mỏi,đau cổ,da khô,khó nuốt,ho khan,khó thở,rối loạn giấc ngủ,
Cường giáp,sụt cân,đổ mồ hôi nhiều,nhịp tim nhanh,khó chịu với nóng,khó ngủ,đau ngực,,,,
Sốt thương hàn,buồn nôn,tiêu chảy,chán ăn,đau cơ,mơ hồ,đau bụng,đau đầu,,,
